id	count	first_case	signature	origin	details
01-d4d484d76b90	1	96	wasm|build-failed|WasmValidationError: Binaryen rejected generated Wasm	mutate:typing/valid/option-result.hd:replace-literal	WasmValidationError: Binaryen rejected generated Wasm
02-e841b5a6d3a0	15	187	wasm|build-failed|WasmValidationError: Binaryen could not parse generated WAT: [object Object]	seed:typing/valid/resource-disposed-result.hd	WasmValidationError: Binaryen could not parse generated WAT: [object Object]
03-2df2857b2cfc	6	918	wasm|build-timeout|PATH	mutate:runtime/valid/map-iterator.hd:duplicate-line	PATH
