id	count	first_case	signature	origin	details
01-7e7def6eec28	2229	4	contract|uninventoried-code:check|*	mutate:parse/valid/uses.hd:duplicate-line+swap-lines+swap-tokens	expected-token ; expected-expression ; duplicate-data-field ; type-mismatch ; unknown-name ; unknown-type
02-cbd58a51c971	2229	4	contract|uninventoried-code:run|*	mutate:parse/valid/uses.hd:duplicate-line+swap-lines+swap-tokens	expected-token ; expected-expression ; duplicate-data-field ; type-mismatch ; unknown-name ; unknown-type
03-a250a47f9535	2229	4	contract|uninventoried-code:test|*	mutate:parse/valid/uses.hd:duplicate-line+swap-lines+swap-tokens	expected-token ; expected-expression ; duplicate-data-field ; type-mismatch ; unknown-name ; unknown-type
04-f30321e32b51	810	9	contract|violation:run|no-located-code:Error: program has no exported main function	mutate:runtime/panic/integer-add-overflow.hd:delete-line	Error: program has no exported main function
05-5bce741f092c	672	9	contract|violation:test|no-located-code:Error: program has no main function or test blocks	mutate:runtime/panic/integer-add-overflow.hd:delete-line	Error: program has no main function or test blocks
06-766f74e73460	12	35	contract|violation:run|no-located-code:throw new WasmValidationError(`Binaryen could not parse generated WAT: ${String(error)}`);	seed:typing/valid/resource-disposed-result.hd	throw new WasmValidationError(`Binaryen could not parse generated WAT: ${String(error)}`);
07-7b0126413245	12	35	contract|violation:test|no-located-code:throw new WasmValidationError(`Binaryen could not parse generated WAT: ${String(error)}`);	seed:typing/valid/resource-disposed-result.hd	throw new WasmValidationError(`Binaryen could not parse generated WAT: ${String(error)}`);
08-5173187f8489	8	119	contract|violation:run|no-located-code:Error: main has no runnable export	mutate:typing/valid/console-error-entry.hd:reindent	Error: main has no runnable export
09-426b3056c2cd	8	119	contract|violation:test|no-located-code:Error: main has no runnable export	mutate:typing/valid/console-error-entry.hd:reindent	Error: main has no runnable export
10-127a671bb400	1	1547	contract|violation:run|no-located-code:result = entry(...declaration.requirements.map((requirement) => ({ requirement })));	mutate:typing/invalid/nonhost-entry-requirement.hd:delete-token	result = entry(...declaration.requirements.map((requirement) => ({ requirement })));
11-03442db268ba	1	1547	contract|violation:test|no-located-code:result = entry(...declaration.requirements.map((requirement) => ({ requirement })));	mutate:typing/invalid/nonhost-entry-requirement.hd:delete-token	result = entry(...declaration.requirements.map((requirement) => ({ requirement })));
12-79015c34c29f	1	2908	contract|violation:run|no-located-code:[wasm-validator error in function fN] struct.new operand N must have proper type, on	mutate:typing/valid/option-result.hd:replace-literal	[wasm-validator error in function fN] struct.new operand N must have proper type, on
13-83ccfbf78d13	1	2908	contract|violation:test|no-located-code:[wasm-validator error in function fN] struct.new operand N must have proper type, on	mutate:typing/valid/option-result.hd:replace-literal	[wasm-validator error in function fN] struct.new operand N must have proper type, on
