path	action	exit	wall_ms	parse_ms	check_ms	emit_ms	assemble_ms	instantiate_ms
spec/conformance/typing/valid/mutable-paths.hd	check	0	271	0.1	0.7	0.2	6.2	0.4
spec/conformance/typing/valid/embedded-trait-opt-in.hd	check	0	270	0.1	0.4	0.1	5.8	0.1
spec/conformance/typing/valid/module-bindings.hd	check	0	273	0.1	0.2	0.1	5.9	0.1
spec/conformance/typing/valid/transitive-initialized-binding.hd	check	0	268	0.1	0.2	0.1	6.1	0.1
spec/conformance/typing/invalid/forward-module-binding.hd	check	1	266					
spec/conformance/typing/invalid/transitive-uninitialized-binding.hd	check	1	265					
spec/conformance/typing/invalid/possibly-uninitialized-binding.hd	check	1	270					
spec/conformance/typing/invalid/implicit-data-equality.hd	check	1	268					
spec/conformance/typing/invalid/implicit-data-ordering.hd	check	1	265					
spec/conformance/typing/invalid/bare-variant-pattern.hd	check	1	267					
spec/conformance/typing/invalid/nonexhaustive-match.hd	check	1	269					
spec/conformance/typing/invalid/top-level-return.hd	check	1	264					
spec/conformance/typing/invalid/recursive-closure-inferred-result.hd	check	1	266					
spec/conformance/typing/invalid/missing-return-value.hd	check	1	265					
spec/conformance/typing/invalid/nonfinal-spread.hd	check	1	266					
spec/conformance/typing/invalid/reassign-short-binding.hd	check	1	273					
spec/conformance/typing/invalid/reassign-parameter.hd	check	1	274					
spec/conformance/typing/invalid/discarded-suspension.hd	check	1	287					
spec/conformance/typing/invalid/float-literal-range.hd	check	1	285					
spec/conformance/typing/invalid/heterogeneous-list.hd	check	1	277					
spec/conformance/typing/invalid/invalid-map-key.hd	check	1	273					
spec/conformance/typing/invalid/float-map-key.hd	check	1	278					
spec/conformance/typing/invalid/nonnumeric-unary-plus.hd	check	1	275					
spec/conformance/typing/invalid/readonly-suspension-cancel.hd	check	1	287					
spec/conformance/typing/invalid/user-suspend-implementation.hd	check	1	293					
spec/conformance/typing/invalid/guarded-match-not-exhaustive.hd	check	1	931					
spec/conformance/typing/invalid/duplicate-data-pattern-field.hd	check	1	684					
spec/conformance/typing/invalid/nonexhaustive-bool-match.hd	check	1	1046					
spec/conformance/typing/invalid/overload.hd	check	1	614					
spec/conformance/typing/invalid/redeclare-core-type.hd	check	1	421					
spec/conformance/typing/invalid/prelude-shadow.hd	check	1	337					
spec/conformance/typing/invalid/function-equality.hd	check	1	329					
spec/conformance/typing/invalid/unsaturated-enum-constructor.hd	check	1	346					
spec/conformance/typing/invalid/contextual-variant-without-type.hd	check	1	305					
spec/conformance/typing/invalid/ambiguous-trait-method.hd	check	1	324					
spec/conformance/typing/invalid/missing-trait-method.hd	check	1	298					
spec/conformance/typing/invalid/trait-method-signature.hd	check	1	308					
spec/conformance/typing/invalid/readonly-mut-field-method.hd	check	1	329					
spec/conformance/typing/invalid/duplicate-inherent-member.hd	check	1	369					
spec/conformance/typing/invalid/embedded-mut-trait-bodyless.hd	check	1	402					
spec/conformance/typing/invalid/duplicate-generic-embedded-name.hd	check	1	406					
spec/conformance/typing/invalid/duplicate-data-field.hd	check	1	351					
spec/conformance/typing/invalid/present-pattern-nonoptional.hd	check	1	330					
spec/conformance/typing/invalid/missing-requirement.hd	check	1	288					
spec/conformance/typing/invalid/bang-call-outside-suspension.hd	check	1	303					
spec/conformance/typing/invalid/row-subtraction-unsound.hd	check	1	320					
spec/conformance/typing/invalid/assert-equal-non-eq.hd	check	1	363					
spec/conformance/typing/invalid/break-value-without-else.hd	check	1	354					
spec/conformance/typing/invalid/reimport-prelude-name.hd	check	1	332					
spec/conformance/typing/invalid/suspension-forbidden-context.hd	check	1	347					
spec/conformance/typing/invalid/defer-block-on.hd	check	1	364					
spec/conformance/typing/valid/row-subtraction-entailment.hd	check	0	323	0.4	0.4	0.4	9.3	0.2
spec/conformance/typing/valid/provider-capturing-closure.hd	check	0	346	0.2	0.3	0.2	6.6	0.1
spec/conformance/typing/valid/distinct-requirement-keys.hd	check	0	304	0.2	0.3	0.1	6.2	0.1
spec/conformance/typing/valid/data-field-defaults.hd	check	0	457	0.1	0.3	0.2	6.6	0.1
spec/conformance/typing/invalid/missing-required-data-field.hd	check	1	350					
spec/conformance/typing/invalid/generic-requirement-key-collision.hd	check	1	679					
spec/conformance/typing/warnings/requirement-subtract-absent.hd	check	0	529	0.1	0.4	0.3	7.0	0.6
spec/conformance/typing/valid/string-semantics.hd	check	0	773	0.1	0.8	0.3	10.1	4.4
spec/conformance/typing/invalid/string-indexing.hd	check	1	408					
spec/conformance/typing/invalid/duplicate-trait-member.hd	check	1	512					
spec/conformance/typing/invalid/mixed-numeric-power.hd	check	1	583					
spec/conformance/typing/invalid/defer-suspends.hd	check	1	366					
spec/conformance/typing/invalid/top-level-defer.hd	check	1	335					
spec/conformance/typing/invalid/impure-data-default.hd	check	1	298					
spec/conformance/typing/warnings/unreachable-code.hd	check	0	329	0.1	0.1	0.2	6.2	0.1
spec/conformance/typing/warnings/unused-local-binding.hd	check	0	300	0.1	0.1	0.1	5.6	0.2
spec/conformance/typing/warnings/variant-binding-name-mismatch.hd	check	0	294	0.1	0.2	0.1	6.2	0.1
spec/conformance/typing/valid/named-variant-bindings.hd	check	0	310	0.1	0.2	0.1	5.7	0.1
spec/conformance/typing/valid/shared-enum-defaults.hd	check	0	298	0.4	1.7	1.2	10.1	0.2
spec/conformance/typing/valid/enums.hd	check	0	297	0.3	1.0	0.4	8.3	0.3
spec/conformance/typing/valid/closure-identity.hd	check	0	294	0.1	0.2	0.1	5.8	0.1
spec/conformance/typing/valid/reference-generic-identity.hd	check	0	292	0.1	0.1	0.1	5.7	0.1
spec/conformance/typing/invalid/primitive-identity.hd	check	1	294					
spec/conformance/typing/invalid/tuple-identity.hd	check	1	291					
spec/conformance/typing/invalid/tuple-map-key.hd	check	1	315					
spec/conformance/typing/invalid/unbounded-generic-identity.hd	check	1	327					
spec/conformance/typing/invalid/readonly-generic-field-init.hd	check	1	320					
spec/conformance/typing/invalid/readonly-spread-mutable-field.hd	check	1	331					
spec/conformance/typing/invalid/copy-update-readonly-child.hd	check	1	313					
spec/conformance/typing/invalid/readonly-mutation.hd	check	1	335					
spec/conformance/typing/invalid/readonly-function-result.hd	check	1	309					
spec/conformance/typing/invalid/mut-upgrade.hd	check	1	314					
spec/conformance/typing/invalid/missing-mutable-edge.hd	check	1	343					
spec/conformance/typing/invalid/readonly-mut-field-reassignment.hd	check	1	297					
spec/conformance/typing/invalid/readonly-mut-field-mutation.hd	check	1	334					
spec/conformance/typing/invalid/readonly-list-element-replacement.hd	check	1	359					
spec/conformance/typing/invalid/readonly-map-entry-replacement.hd	check	1	845					
spec/conformance/typing/invalid/partial-generic-arguments.hd	check	1	826					
spec/conformance/typing/invalid/unresolved-generic-placeholder.hd	check	1	916					
spec/conformance/typing/invalid/nonhost-entry-requirement.hd	check	1	571					
spec/conformance/typing/invalid/private-requirement-row.hd	check	1	947					
spec/conformance/typing/invalid/private-type-leak.hd	check	1	744					
spec/conformance/typing/invalid/nondisplay-entry-error.hd	check	1	779					
spec/conformance/typing/invalid/discarded-result.hd	check	1	1238					
spec/conformance/typing/invalid/impure-shared-enum-default.hd	check	1	940					
spec/conformance/typing/invalid/shared-enum-default-order.hd	check	1	689					
spec/conformance/runtime/panic/integer-divide-by-zero.hd	test	1	1004	0.1	0.2	0.4	10.6	0.4
spec/conformance/runtime/panic/signed-min-division-overflow.hd	test	1	1070	0.1	1.9	0.4	6.5	4.0
spec/conformance/runtime/panic/nested-block-on.hd	test	1	1059	0.3	0.5	0.8	10.2	0.2
spec/conformance/runtime/panic/second-suspension-drive.hd	test	1	1002	0.2	0.3	0.2	10.0	0.9
spec/conformance/runtime/panic/test-block-on.hd	test	1	1259	0.3	3.9	0.4	18.6	1.4
spec/conformance/runtime/valid/construction-provider-capture.hd	test	0	1940	0.6	3.8	2.7	15.6	26.7
spec/conformance/runtime/valid/defer-order.hd	test	0	3191	0.7	2.3	1.5	15.6	2.7
spec/conformance/runtime/valid/map-insertion-order.hd	test	0	2440	0.5	1.0	1.3	8.3	0.9
spec/conformance/runtime/valid/generic-data-embedding.hd	test	0	1778	0.2	0.5	0.3	11.3	0.2
spec/conformance/runtime/valid/partial-equality-dispatch.hd	test	0	2353	4.6	29.2	5.3	45.5	5.4
spec/conformance/runtime/valid/partial-ordering-dispatch.hd	test	0	1537	0.7	2.1	0.7	61.8	0.4
spec/conformance/runtime/valid/structural-equality.hd	test	0	1418	0.7	5.0	1.1	20.0	4.8
spec/conformance/runtime/valid/structural-ordering.hd	test	0	1228	0.2	0.8	1.5	16.9	0.3
spec/conformance/runtime/valid/list-iterator.hd	test	0	1031	0.8	0.9	1.2	26.4	0.6
spec/conformance/runtime/panic/invalidated-iterator.hd	test	1	801	0.2	0.5	0.3	20.2	7.4
spec/conformance/runtime/valid/map-iterator.hd	test	0	1040	1.2	3.6	0.6	26.7	3.5
spec/conformance/runtime/panic/map-iterator-invalidated.hd	test	1	939	1.3	0.3	0.2	7.7	1.6
spec/conformance/runtime/panic/for-loop-iterator-invalidated.hd	test	1	1030	0.1	0.2	0.1	6.6	0.5
spec/conformance/runtime/panic/removed-map-iterator-invalidated.hd	test	1	1053	0.1	0.2	0.1	7.9	0.1
spec/conformance/runtime/panic/explicit-panic.hd	test	1	1250	0.4	0.7	0.2	7.5	0.9
spec/conformance/runtime/panic/integer-add-overflow.hd	test	1	1059	0.1	0.3	0.2	8.2	2.5
spec/conformance/runtime/panic/invalid-shift.hd	test	1	930	0.1	0.1	0.3	7.7	0.7
spec/conformance/runtime/panic/list-index-out-of-bounds.hd	test	1	1387	0.1	0.2	0.1	12.7	1.9
spec/conformance/runtime/panic/integer-negation-overflow.hd	test	1	1294	0.1	0.2	0.1	5.7	0.1
spec/conformance/runtime/panic/list-set-out-of-bounds.hd	test	1	1101	0.2	0.3	0.2	7.3	0.3
spec/conformance/runtime/panic/competing-suspension-drivers.hd	test --scenario competing-drivers	1	1084	0.1	0.2	0.3	30.8	2.8
spec/conformance/runtime/panic/reentrant-suspension-poll.hd	test --scenario reentrant-poll	1	1196	0.1	0.1	0.3	7.9	1.4
spec/conformance/runtime/panic/reentrant-cancel.hd	test	1	1385	0.4	1.8	1.2	11.5	2.9
